symbol,market_cap,pe_ratio,period_ending,fiscal_period,calendar_year,revenue_per_share,capex_per_share,net_income_per_share,operating_cash_flow_per_share,free_cash_flow_per_share,cash_per_share,book_value_per_share,tangible_book_value_per_share,shareholders_equity_per_share,interest_debt_per_share,price_to_sales,price_to_operating_cash_flow,price_to_free_cash_flow,price_to_book,price_to_tangible_book,ev_to_sales,ev_to_ebitda,ev_to_operating_cash_flow,ev_to_free_cash_flow,earnings_yield,free_cash_flow_yield,debt_to_equity,debt_to_assets,net_debt_to_ebitda,current_ratio,interest_coverage,income_quality,payout_ratio,sales_general_and_administrative_to_revenue,research_and_development_to_revenue,intangibles_to_total_assets,capex_to_operating_cash_flow,capex_to_revenue,capex_to_depreciation,stock_based_compensation_to_revenue,working_capital,tangible_asset_value,net_current_asset_value,enterprise_value,invested_capital,average_receivables,average_payables,average_inventory,days_sales_outstanding,days_payables_outstanding,days_of_inventory_on_hand,receivables_turnover,payables_turnover,inventory_turnover,return_on_equity,return_on_invested_capital,return_on_tangible_assets,dividend_yield,graham_number,graham_net_net,Stock
A,37789900000.0,29.317222653219552,2024-10-31,FY,2024,22.448275862068964,1.303448275862069,4.444827586206896,6.037931034482758,4.73448275862069,4.582758620689655,20.33793103448276,3.013793103448276,20.33793103448276,12.020689655172411,5.804900153609832,21.58189605939464,27.523597960670067,6.407239742285521,6.407239742285521,6.121490015360983,26.7815188172043,22.758937749857225,29.02469045884924,0.0341096430527733,0.0363324592020619,0.5747711088504578,0.2861725476954246,1.3850806451612905,2.0891820580474936,15.5,1.3584173778122577,0.2125678820791311,0.0,0.07357910906298,0.424109404018234,0.2158766419189035,0.0580645161290322,1.4708171206225682,0.0198156682027649,2064000000.0,874000000.0,-1989000000.0,39850900000.0,8866000000.0,1307500000.0,479000000.0,1001500000.0,74.23348694316437,66.25210084033614,119.25378151260504,4.9169184290030215,5.50925925925926,3.0606995884773665,0.2185486605629026,0.1261538145830324,0.1889475227206098,0.0072506145822031,45.09953913777781,-10.827586206896552,A
A,30390780000.0,24.508693548387097,2023-10-31,FY,2023,23.24149659863945,1.0136054421768708,4.217687074829932,6.0272108843537415,5.01360544217687,5.408163265306122,19.88095238095238,4.795918367346939,19.88095238095238,9.625850340136054,4.4476481779599,17.150553047404063,20.617896879240163,5.199449101796408,5.199449101796408,4.615217327674521,18.51778038755138,17.796715575620766,21.3946947082768,0.0408018484553538,0.0485015521154771,0.4679213002566296,0.2541113072563412,0.6723429242513213,2.611353711790393,14.210526315789474,1.429032258064516,0.2137096774193548,0.0,0.0703936777403775,0.4120598346186007,0.1681715575620767,0.0436118835065125,1.099630996309963,0.016244694863164,2583000000.0,1410000000.0,-732000000.0,31535780000.0,8442000000.0,1348000000.0,499000000.0,1034500000.0,68.96165666617884,45.2998812351544,111.73248218527316,5.292796281951976,8.057416267942584,3.2667313288069835,0.2121471343028229,0.1364832649014613,0.1959544879898862,0.008719749871507,43.43572041051208,-6.2729591836734695,A
A,41366650000.0,32.9877591706539,2022-10-31,FY,2022,22.90301003344481,0.9732441471571908,4.193979933110368,4.387959866220736,3.4147157190635453,3.5217391304347827,17.74247491638796,1.779264214046823,17.74247491638796,9.54180602006689,6.040690712616822,31.529458841463416,40.51581782566112,7.797672007540057,7.797672007540057,6.291274824766355,21.606143430290874,32.837385670731706,42.196523016650346,0.0303142749050261,0.0246817182440444,0.5219604147031103,0.2629130269654386,0.8605817452357071,2.030091348737238,19.261904761904763,1.0462519936204149,0.1993620414673046,0.0,0.0681950934579439,0.4531902772502848,0.2217987804878048,0.0424941588785046,0.917981072555205,0.0182535046728971,1917000000.0,532000000.0,-1449000000.0,43082650000.0,7790000000.0,1288500000.0,513000000.0,934000000.0,74.88682827102804,67.72232885476647,121.1996161228407,4.874021352313167,5.389655172413793,3.0115606936416186,0.2363807728557964,0.1540363703944843,0.2177461364820281,0.006043515730667,40.91773007717457,-8.699832775919733,A
A,47746240000.0,39.45970247933885,2021-10-31,FY,2021,20.786184210526315,0.6217105263157895,3.9802631578947367,4.884868421052632,4.2631578947368425,5.180921052631579,17.726973684210527,1.424342105263158,17.726973684210527,9.24342105263158,7.555980376641874,32.15235016835017,36.84123456790123,8.859944331044721,8.859944331044721,7.753005222345307,28.40071884057971,32.99073400673401,37.80188271604938,0.0253423096771599,0.0271434986294208,0.5064019298571163,0.2549276039234003,0.7217391304347827,2.2242388758782203,16.62962962962963,1.2272727272727273,0.1950413223140495,0.0,0.0697895236588067,0.4629612330686595,0.1272727272727272,0.0299097958537743,0.5887850467289719,0.0174078176926728,2091000000.0,433000000.0,-1517000000.0,48991240000.0,7992000000.0,1105000000.0,400000000.0,775000000.0,67.69742047792371,55.903159340659336,104.03502747252746,5.3916382252559725,6.5291479820627805,3.508433734939759,0.2245314529597327,0.132438260971313,0.210471386328057,0.0049427975899254,39.84413954103207,-8.049342105263158,A
A,31545810000.0,43.874561891516,2020-10-31,FY,2020,17.27831715210356,0.3851132686084142,2.326860841423948,2.9805825242718447,2.5954692556634305,4.663430420711974,15.770226537216828,1.4239482200647249,15.770226537216828,7.88673139158576,5.908561528376101,34.25169381107492,39.333927680798006,6.473591216909502,6.473591216909502,6.08050383967035,23.9939467849224,35.24843648208469,40.47856608478803,0.0227922503812709,0.0254233446533786,0.4840960394007798,0.2450399916900384,0.6784922394678492,2.3278800272665303,10.846153846153848,1.2809457579972183,0.3087621696801113,0.0,0.0927139913841543,0.460475745299678,0.1292073832790445,0.022288818130736,0.3863636363636363,0.0155459823937066,1948000000.0,440000000.0,-1339000000.0,32463810000.0,7226000000.0,984000000.0,354000000.0,699500000.0,70.96272710245364,51.642685851318944,105.0359712230216,5.14354527938343,7.067796610169491,3.475,0.1475477118817976,0.0871850925609003,0.1384289564882556,0.0070373846796135,28.73395653701869,-7.0372168284789645,A
AAPL,3495160329570.0,37.287278415656736,2024-09-28,FY,2024,25.484914639368924,0.6156891035281195,6.109054070954992,7.706965094592383,7.091275991064264,4.247388013764271,3.711600978715614,3.711600978715614,3.711600978715614,6.949329249507765,8.93822887866815,29.55638142954995,32.12256867269569,61.37243774486391,61.37243774486391,9.134339201273542,26.524727497716487,30.204866893043786,32.82735788662494,0.0268187983272092,0.0311307607492175,1.872326602282704,0.2921502548084826,0.5694744580836323,0.8673125765340832,0.0,1.2615643936161134,0.1625202696936075,0.0,0.0802229979413607,0.0,0.0798873611040641,0.0241589627526947,0.8254259501965924,0.0298899075530323,-23405000000.0,56950000000.0,-155043000000.0,3571846329570.0,22275000000.0,63614000000.0,65785500000.0,6808500000.0,61.83255974529134,119.65847721913744,12.642570548414088,5.903038811648023,3.0503480278422272,28.870710952511665,1.6459350307287095,0.4465228665522095,0.2568250315085758,0.0043585983369965,22.58701726761684,-12.352478525015636,AAPL
AAPL,2695569789510.0,27.790811789370583,2023-09-30,FY,2023,24.3444725880864,0.6960644822856067,6.160669263554378,7.021174930677783,6.325110448392176,3.909686030394244,3.947223589389663,3.947223589389663,3.947223589389663,7.305596570578772,7.032807935374461,24.384807626986785,27.06830203155125,43.37479145093811,43.37479145093811,7.244459839310174,22.06877117715785,25.118666849189907,27.882920845818607,0.0359831158434342,0.0369435806809892,1.7875325845589418,0.3150690759338936,0.6447544110634239,0.9880116717592976,29.062039155860667,1.1396773029537606,0.1549048920047425,0.0,0.078048971392045,0.0,0.0991378920420108,0.0285923007683577,0.9513846688080564,0.0282635636667231,-1742000000.0,62146000000.0,-146871000000.0,2776692789510.0,52634000000.0,60958500000.0,63363000000.0,5638500000.0,58.07564866874519,106.72146803214764,10.791292490321617,6.284906124456834,3.420117870661705,33.82356657716001,1.5607601454639075,0.4338918291689624,0.2750983456377647,0.0055739606737213,23.391122856319186,-11.431345868845549,AAPL
AAPL,2439367314090.0,24.441823533260525,2022-09-24,FY,2022,24.31727304755197,0.6603369778285755,6.154614437637777,7.532762624088375,6.872425646259799,2.9787931805221803,3.124822127430853,3.124822127430853,3.124822127430853,8.350475392673257,6.186137718067193,19.97009696269372,21.888923611981014,48.14034011071204,48.14034011071204,6.462136379080359,19.52031403229637,20.861076160571752,22.86551254085048,0.0409134776150885,0.0456852067158133,2.614461635617304,0.3755581069013904,0.8337150780214645,0.8793560286267226,40.74957352439441,1.2239211246154926,0.1487029448012584,0.0,0.0665714836379866,0.0,0.0876619921245016,0.0271550587328315,0.9643371757925072,0.0229200056805502,-18577000000.0,50672000000.0,-166678000000.0,2548201314090.0,33957000000.0,56219000000.0,59439000000.0,5763000000.0,56.400204905560855,104.6852773031054,8.07569806661716,6.471607693822622,3.486641191608828,45.19733117670845,1.969588727502368,0.4517476149331245,0.2829244092925685,0.006083954603424,20.801963754945305,-12.67929632054538,AAPL
AAPL,2453750882240.0,25.916253509083223,2021-09-25,FY,2021,21.90354123925411,0.6637219009426348,5.669029281123018,6.229345884552985,5.56562398361035,3.750552652516527,3.777556583714104,3.777556583714104,3.777556583714104,8.332718609696315,6.707591178758778,23.585140835463964,26.39775889148279,38.89286546584245,38.89286546584245,6.985276469491576,21.253174105611603,24.56153407639516,27.49059075274601,0.0385858241296148,0.0378820037000432,2.163924552226977,0.3889493507159503,0.8448761987141633,1.0745531195957954,41.19054820415879,1.0988381918039714,0.1527989015631601,0.0,0.0599042690744279,0.0,0.1065476076049136,0.0303020362640336,0.9823644097837646,0.0216118988455976,9355000000.0,63090000000.0,-153076000000.0,2555332882240.0,58882000000.0,44475500000.0,48529500000.0,5320500000.0,51.39096870839792,93.8510712223156,11.27659274770989,7.102415252591931,3.889140478060004,32.367933130699086,1.5007132667617689,0.3892505618225257,0.2697420527518361,0.0058958715429144,21.950837680915992,-10.97841529675105,AAPL
AAPL,1948295921320.0,33.93593425162425,2020-09-26,FY,2020,15.820258033039078,0.4212165672676634,3.308587268217789,4.649230448454163,4.2280138811865,5.241031369137106,3.765476712094932,3.765476712094932,3.765476712094932,7.212433248066129,7.0972293729668685,24.150233300939583,26.55620420254889,29.818269660080503,29.818269660080503,7.404177991439448,26.27945181681837,25.194708596573864,27.704735518571525,0.0294672895281242,0.0376559839792171,1.871439722064923,0.3775317393666946,1.0894445593711213,1.3636044481554577,23.07274625826662,1.405201093867029,0.2452665865426486,0.0,0.068309564140393,0.0,0.0905992017254629,0.0266251388812997,0.661089001447178,0.024876600550061,38321000000.0,65339000000.0,-114836000000.0,2032557921320.0,83657000000.0,41624500000.0,44266000000.0,4083500000.0,49.78753437881355,91.04818971567418,8.741883356235881,7.331152356789959,4.008866086627577,41.75301649839941,0.8786635853012749,0.2426948685968288,0.1772557180259843,0.0072273415172269,16.74258602902124,-7.923628808677487,AAPL
